trajectory_key,valid,no_at_fault_collisions,drivable_area_compliance,driving_direction_compliance,ego_progress,time_to_collision_within_bound,comfort,score,error
ed31f41d4b2c5e33,True,1.0,1.0,1.0,0.382703985235536,1.0,1.0,0.7427933271814734,
04703c86cf5b5a20,True,1.0,1.0,1.0,0.27809068085907884,1.0,1.0,0.6992044503579495,
5f89ac40ee155a0e,True,1.0,1.0,1.0,0.3552458388873565,1.0,1.0,0.7313524328697318,
b9ca1e41206e5a03,True,1.0,0.0,1.0,0.0,1.0,0.0,0.0,
19c99be4f21f5a0a,True,1.0,1.0,1.0,0.637174218585609,1.0,0.0,0.6821559244106704,
b3b3a0cc7dec50a0,True,1.0,1.0,1.0,0.4383994323084006,1.0,1.0,0.7659997634618336,
1468001ef92e5109,True,1.0,1.0,1.0,0.32224019474914856,0.0,0.0,0.13426674781214523,
9ea456b1af1758d6,True,1.0,1.0,1.0,0.0,1.0,1.0,0.5833333333333334,
a27875deccc151e0,True,1.0,1.0,1.0,0.2244465069905554,1.0,0.0,0.5101860445793981,
d10f3128649054ef,True,1.0,1.0,1.0,0.3697187001364547,1.0,1.0,0.7373827917235228,
97c8e9ca10ba5a69,True,1.0,1.0,1.0,0.0,1.0,1.0,0.5833333333333334,
d0c31f4b85ea5028,True,1.0,1.0,1.0,0.4635455717726795,1.0,1.0,0.7764773215719498,
cd8713b912495b6d,True,1.0,1.0,1.0,0.5587927651532892,1.0,1.0,0.8161636521472039,
ea57ba531b9f5599,True,0.0,1.0,1.0,0.0,0.0,1.0,0.0,
099e737993e15319,True,1.0,1.0,1.0,0.591173839070819,1.0,1.0,0.829655766279508,
d7193cbff1cd58e2,True,1.0,1.0,1.0,0.11041272112881613,1.0,0.0,0.46267196713700676,
3fd83f3f2ac3592a,True,1.0,0.0,1.0,0.0,1.0,0.0,0.0,
b11d39291cd55ed7,True,1.0,0.0,1.0,0.0,1.0,0.0,0.0,
c06773e2267b568e,True,1.0,0.0,1.0,0.0,1.0,0.0,0.0,
93a5e1de2d185374,True,0.0,1.0,1.0,0.0,0.0,1.0,0.0,
21cd282d8b27526f,True,1.0,1.0,1.0,0.08200659060575577,0.0,1.0,0.2008360794190649,
59bb570b4290572d,True,1.0,1.0,1.0,0.43942665410419235,1.0,1.0,0.7664277725434134,
70615adb309b596a,True,0.0,1.0,1.0,0.0,0.0,1.0,0.0,
38e2900d6e60513b,True,1.0,1.0,1.0,0.5628161815601365,1.0,1.0,0.8178400756500569,
9243ca15a76e552f,True,1.0,1.0,1.0,0.3675229981918185,1.0,1.0,0.7364679159132578,
d92297ffbf655d53,True,1.0,0.0,1.0,0.0,0.0,0.0,0.0,
624182d3de8255d8,True,1.0,1.0,1.0,0.432609899857519,1.0,0.0,0.5969207916072996,
1ed7ae84b65d52b4,True,1.0,1.0,1.0,0.2076826771889397,1.0,1.0,0.6698677821620582,
cbb561f30e295903,True,1.0,0.0,1.0,0.0,0.0,1.0,0.0,
53c9f25e1fda5ce0,True,1.0,1.0,1.0,0.5124017461693474,1.0,0.0,0.630167394237228,
026e84581e0f5044,True,1.0,1.0,1.0,0.39447074325203985,1.0,1.0,0.7476961430216833,
2b201c0ffa245b8b,True,1.0,1.0,1.0,0.5599273291113733,1.0,1.0,0.8166363871297388,
9acaaa1400115088,True,1.0,1.0,1.0,0.356469960431852,1.0,1.0,0.7318624835132717,
609d74e2399c53ad,True,1.0,1.0,1.0,0.7379180489044296,1.0,1.0,0.8907991870435122,
a69eba54eedd5a64,True,0.0,0.0,1.0,0.0,0.0,1.0,0.0,
ceb5b3df40105f05,True,1.0,1.0,1.0,0.349517712317208,1.0,0.0,0.5622990467988367,
dfd5770faffa5ba7,True,1.0,1.0,1.0,0.24951814180504503,1.0,0.0,0.5206325590854354,
71aea26de05f5b5d,True,1.0,1.0,1.0,0.47861128214892446,1.0,1.0,0.7827547008953851,
